,atom_1,atom_2,bild-cmd,x1,y1,z1,x2,y2,z2,dx,dy,dz,length
0,10,34,.v,12.9070261310741,7.441074132551121,9.76733360932786,13.6563111248906,7.94143398565737,9.096817563021471,0.7492849938165005,0.5003598531062492,-0.6705160463063891,1.1231116386688602
1,15,24,.v,15.8300876286768,12.741638704160199,14.2211116307338,16.428536835837,11.7349335663775,14.7449274212539,0.5984492071602006,-1.0067051377826992,0.5238157905201,1.2829573922726167
2,2,42,.v,14.941557314216,10.8014294224969,8.86314703674052,15.863308527549698,10.330752843718901,8.48457509956835,0.9217512133336978,-0.47067657877799896,-0.3785719371721701,1.1020337802021294
3,1,40,.v,1.7705432857864298,9.78977293187672,12.0186375717004,1.78806793944069,10.1074113767112,13.091883570369802,0.017524653654260147,0.3176384448344791,1.0732459986694014,1.1194008525914427
4,3,7,.v,16.9711212983309,11.573701225306099,12.0099299743806,17.834801570398604,12.015714898903502,12.519501759589698,0.8636802720677039,0.44201367359740296,0.5095717852090971,1.0958937468054102
5,4,9,.v,12.9095520124858,6.32976762469638,11.853931306863,12.9056452812094,6.89384126570138,10.9027807057058,-0.003906731276400066,0.5640736410049998,-0.9511506011572006,1.105839862325286
6,6,24,.v,16.7202062293495,10.807776657009402,14.060468829574,16.428536835837,11.7349335663775,14.7449274212539,-0.29166939351249965,0.9271569093680974,0.6844585916798991,1.1887701768741434
7,15,39,.v,15.8300876286768,12.741638704160199,14.2211116307338,15.844421075362801,13.3512796162708,13.221955938775402,0.014333446686000784,0.609640912110601,-0.9991556919583982,1.170546703974605
8,20,32,.v,19.7828991746132,7.805773578689751,10.2264606128603,19.9136979462891,8.97650939997844,10.087679817444801,0.13079877167590226,1.1707358212886891,-0.13878079541549937,1.1861664263907425
9,29,32,.v,19.8293755798741,10.1078192718887,10.585678079759699,19.9136979462891,8.97650939997844,10.087679817444801,0.08432236641500168,-1.1313098719102594,-0.49799826231489774,1.238940901346021
10,3,25,.v,16.9711212983309,11.573701225306099,12.0099299743806,17.9373599658332,11.3311718279932,11.482367597263801,0.9662386675022994,-0.24252939731289835,-0.5275623771167997,1.127279793523642
11,5,16,.v,15.5199762625205,12.437624363475,10.3336437852745,15.224294451909199,11.156936362404402,9.95071708243623,-0.29568181061130083,-1.2806880010705992,-0.38292670283827057,1.3690224063028236
12,23,25,.v,18.739358823259,10.4206075843669,10.978144812713301,17.9373599658332,11.3311718279932,11.482367597263801,-0.8019988574258008,0.9105642436263004,0.5042227845504996,1.3139901162272438
13,8,18,.v,15.2437431764714,11.9321990622558,8.74233490814467,14.9666873881445,12.7297631161005,9.468306346698249,-0.2770557883268996,0.7975640538447006,0.7259714385535787,1.1135092543064853
14,21,37,.v,4.172006155021831,10.7178060292245,15.111682665838,3.17399127197519,10.3046480760885,14.5340017796591,-0.9980148830466407,-0.41315795313600034,-0.5776808861789,1.2249279192175222
15,28,30,.v,13.7644212587002,8.950669007862631,8.58172128740549,13.8789654933686,10.083717830745199,8.727054604400411,0.11454423466840069,1.133048822882568,0.1453333169949218,1.1480600113931714
16,2,8,.v,14.941557314216,10.8014294224969,8.86314703674052,15.2437431764714,11.9321990622558,8.74233490814467,0.30218586225539923,1.130769639758899,-0.12081212859584944,1.1766698109339637
17,17,33,.v,2.69446427410191,9.041053998732789,11.708077386560099,3.8582565600794,8.59367143314268,11.633889837223599,1.16379228597749,-0.44738256559010914,-0.07418754933650007,1.2490265959423186
18,26,38,.v,16.276076833712498,11.912271694256999,9.66764719506495,16.732976088807302,11.0628006437776,8.99126454326308,0.4568992550948039,-0.8494710504793996,-0.6763826518018696,1.1780710872300069
19,6,35,.v,16.7202062293495,10.807776657009402,14.060468829574,16.7523276871521,10.706592787353,12.901478348983801,0.03212145780259945,-0.10118386965640269,-1.1589904805901998,1.1638422992951882
20,5,18,.v,15.5199762625205,12.437624363475,10.3336437852745,14.9666873881445,12.7297631161005,9.468306346698249,-0.5532888743759994,0.29213875262549927,-0.8653374385762511,1.0678401153241763
21,31,37,.v,2.4470916094255,9.76311258838206,13.937056316923401,3.17399127197519,10.3046480760885,14.5340017796591,0.7268996625496897,0.5415354877064384,0.5969454627356985,1.085351412834129
22,9,10,.v,12.9056452812094,6.89384126570138,10.9027807057058,12.9070261310741,7.441074132551121,9.76733360932786,0.0013808498646987744,0.5472328668497406,-1.1354470963779395,1.2604387434461177
23,31,40,.v,2.4470916094255,9.76311258838206,13.937056316923401,1.78806793944069,10.1074113767112,13.091883570369802,-0.6590236699848102,0.34429878832913907,-0.8451727465535992,1.1256868235713322
24,36,39,.v,15.562401840344,14.386459700276502,12.7983601753477,15.844421075362801,13.3512796162708,13.221955938775402,0.2820192350188009,-1.0351800840057024,0.4235957634277021,1.1535016367723716
25,2,16,.v,14.941557314216,10.8014294224969,8.86314703674052,15.224294451909199,11.156936362404402,9.95071708243623,0.2827371376931982,0.35550693990750126,1.0875700456957098,1.1786153221674605
26,1,17,.v,1.7705432857864298,9.78977293187672,12.0186375717004,2.69446427410191,9.041053998732789,11.708077386560099,0.9239209883154802,-0.7487189331439321,-0.3105601851403019,1.2290881425237248
27,6,13,.v,16.7202062293495,10.807776657009402,14.060468829574,17.8609652345172,11.07262285392,14.1669487690234,1.1407590051676983,0.2648461969105984,0.10647993944939849,1.1759305223500034
28,7,12,.v,17.834801570398604,12.015714898903502,12.519501759589698,19.033888853975302,11.4381793885904,12.3415430416867,1.1990872835766986,-0.5775355103131012,-0.17795871790299778,1.3427683659461296
29,19,41,.v,0.567911696041357,10.026906784532802,12.282139061531598,19.5056935263773,10.4734705275167,12.430309546983098,18.937781830335943,0.4465637429838978,0.1481704854514998,18.94362569105262
30,3,14,.v,16.9711212983309,11.573701225306099,12.0099299743806,16.0622311867781,12.270058960000698,11.471246123174,-0.9088901115528003,0.6963577346945993,-0.538683851206601,1.2653756837786283
31,38,42,.v,16.732976088807302,11.0628006437776,8.99126454326308,15.863308527549698,10.330752843718901,8.48457509956835,-0.8696675612576037,-0.7320478000586981,-0.5066894436947305,1.2445681343446822
32,22,27,.v,12.8332505587114,7.574421494076929,11.959850023600499,12.361718706516,8.58488416870502,12.3478384590257,-0.47153185219540106,1.0104626746280916,0.38798843542520167,1.1806405593892995
33,5,14,.v,15.5199762625205,12.437624363475,10.3336437852745,16.0622311867781,12.270058960000698,11.471246123174,0.5422549242576,-0.1675654034743026,1.1376023378994997,1.2713212208240405
34,4,22,.v,12.9095520124858,6.32976762469638,11.853931306863,12.8332505587114,7.574421494076929,11.959850023600499,-0.07630145377440023,1.2446538693805484,0.10591871673749864,1.251480699398667
35,23,29,.v,18.739358823259,10.4206075843669,10.978144812713301,19.8293755798741,10.1078192718887,10.585678079759699,1.0900167566150998,-0.31278831247820094,-0.39246673295360246,1.2000013310825688
36,3,35,.v,16.9711212983309,11.573701225306099,12.0099299743806,16.7523276871521,10.706592787353,12.901478348983801,-0.2187936111787998,-0.8671084379530996,0.8915483746032002,1.2627771742155194
37,5,26,.v,15.5199762625205,12.437624363475,10.3336437852745,16.276076833712498,11.912271694256999,9.66764719506495,0.7561005711919986,-0.5253526692180017,-0.6659965902095504,1.136325199483886
38,12,41,.v,19.033888853975302,11.4381793885904,12.3415430416867,19.5056935263773,10.4734705275167,12.430309546983098,0.47180467240199775,-0.9647088610737011,0.08876650529639818,1.077563143392075
